row_id,Furo,X,Y,CU(%),AU(PPM)
1,Furo 001,11,8,0.0,-99.0
2,Furo 002,8,30,0.0,-99.0
3,Furo 003,9,48,2.244,-99.0
4,Furo 004,8,69,4.344,-99.0
5,Furo 005,9,90,4.121,-99.0
6,Furo 006,10,110,5.872,-99.0
7,Furo 007,9,129,1.923,-99.0
8,Furo 008,11,150,0.313,-99.0
9,Furo 009,10,170,3.885,-99.0
10,Furo 010,8,188,1.746,-99.0
11,Furo 011,9,209,1.878,-99.0
12,Furo 012,10,231,0.821,-99.0
13,Furo 013,11,250,0.811,-99.0
14,Furo 014,10,269,1.243,-99.0
15,Furo 015,8,288,1.88,-99.0
16,Furo 016,31,11,0.287,-99.0
17,Furo 017,29,29,0.781,-99.0
18,Furo 018,28,51,2.921,-99.0
19,Furo 019,31,68,8.952,-99.0
20,Furo 020,28,88,7.026,-99.0
21,Furo 021,30,110,4.903,-99.0
22,Furo 022,28,130,1.361,-99.0
23,Furo 023,28,150,3.35,-99.0
24,Furo 024,30,171,2.77,-99.0
25,Furo 025,28,190,2.061,-99.0
26,Furo 026,31,209,0.245,-99.0
27,Furo 027,28,229,1.981,-99.0
28,Furo 028,30,250,0.603,-99.0
29,Furo 029,31,269,3.126,-99.0
30,Furo 030,31,289,2.409,-99.0
31,Furo 031,49,11,6.533,-99.0
32,Furo 032,49,29,0.964,-99.0
33,Furo 033,51,48,1.05,-99.0
34,Furo 034,49,68,0.378,-99.0
35,Furo 035,50,88,8.208,-99.0
36,Furo 036,51,109,4.507,-99.0
37,Furo 037,48,129,1.904,-99.0
38,Furo 038,49,151,7.733,-99.0
39,Furo 039,51,168,9.719,-99.0
40,Furo 040,48,190,7.624,-99.0
41,Furo 041,50,211,9.683,-99.0
42,Furo 042,49,231,3.947,-99.0
43,Furo 043,51,250,3.43,-99.0
44,Furo 044,50,268,8.638,-99.0
45,Furo 045,51,290,1.596,-99.0
46,Furo 046,71,9,4.458,-99.0
47,Furo 047,71,29,6.733,-99.0
48,Furo 048,70,51,2.526,-99.0
49,Furo 049,68,70,5.375,-99.0
50,Furo 050,69,90,0.0,-99.0
51,Furo 051,68,110,3.291,-99.0
52,Furo 052,68,128,6.463,-99.0
53,Furo 053,69,148,6.162,-99.0
54,Furo 054,69,169,7.613,-99.0
55,Furo 055,70,191,9.18,-99.0
56,Furo 056,69,208,0.974,-99.0
57,Furo 057,69,229,0.0,-99.0
