Furo,X,Y,CU(%),AU(PPM)
Furo 001,11,8,0.0,
Furo 002,8,30,0.0,
Furo 003,9,48,2.244,
Furo 004,8,69,4.344,
Furo 005,9,90,4.121,
Furo 006,10,110,5.872,
Furo 007,9,129,1.923,
Furo 008,11,150,0.313,
Furo 009,10,170,3.885,
Furo 010,8,188,1.746,
Furo 011,9,209,1.878,
Furo 012,10,231,0.821,
Furo 013,11,250,0.811,
Furo 014,10,269,1.243,
Furo 015,8,288,1.88,
Furo 016,31,11,0.287,
Furo 017,29,29,0.781,
Furo 018,28,51,2.921,
Furo 019,31,68,8.952,
Furo 020,28,88,7.026,
Furo 021,30,110,4.903,
Furo 022,28,130,1.361,
Furo 023,28,150,3.35,
Furo 024,30,171,2.77,
Furo 025,28,190,2.061,
Furo 026,31,209,0.245,
Furo 027,28,229,1.981,
Furo 028,30,250,0.603,
Furo 029,31,269,3.126,
Furo 030,31,289,2.409,
Furo 031,49,11,6.533,
Furo 032,49,29,0.964,
Furo 033,51,48,1.05,
Furo 034,49,68,0.378,
Furo 035,50,88,8.208,
Furo 036,51,109,4.507,
Furo 037,48,129,1.904,
Furo 038,49,151,7.733,
Furo 039,51,168,9.719,
Furo 040,48,190,7.624,
Furo 041,50,211,9.683,
Furo 042,49,231,3.947,
Furo 043,51,250,3.43,
Furo 044,50,268,8.638,
Furo 045,51,290,1.596,
Furo 046,71,9,4.458,
Furo 047,71,29,6.733,
Furo 048,70,51,2.526,
Furo 049,68,70,5.375,
Furo 050,69,90,0.0,
Furo 051,68,110,3.291,
Furo 052,68,128,6.463,
Furo 053,69,148,6.162,
Furo 054,69,169,7.613,
Furo 055,70,191,9.18,
Furo 056,69,208,0.974,
Furo 057,69,229,0.0,
Furo 058,68,250,0.0,
Furo 059,71,268,0.0,
Furo 060,71,288,0.024,
Furo 061,91,11,3.683,
Furo 062,91,29,0.916,
Furo 063,90,49,6.547,
Furo 064,91,68,6.455,
Furo 065,91,91,9.072,
Furo 066,91,111,8.263,
Furo 067,89,130,9.753,
Furo 068,88,149,5.511,
Furo 069,89,170,1.555,
Furo 070,89,188,0.107,
Furo 071,90,211,0.0,
Furo 072,90,230,0.0,
Furo 073,88,249,0.0,
Furo 074,88,269,0.121,
Furo 075,88,288,0.622,
Furo 076,109,11,3.996,
Furo 077,111,31,1.766,
Furo 078,108,49,4.02,
Furo 079,109,68,2.606,
Furo 080,108,88,1.92,
Furo 081,110,109,2.376,
Furo 082,109,129,7.02,
Furo 083,110,148,0.385,
Furo 084,111,169,0.221,
Furo 085,111,191,0.027,
Furo 086,110,208,0.179,
Furo 087,109,230,1.742,
Furo 088,109,249,0.129,
