,CU(%),CU(%),CU(%),CU(%),CU(%),AU(PPM),AU(PPM),AU(PPM),AU(PPM),AU(PPM)
,mean,std,min,max,count,mean,std,min,max,count
Furo,,,,,,,,,,
Furo 001,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 002,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 003,2.244,,2.244,2.244,1,-99.0,,-99.0,-99.0,1
Furo 004,4.344,,4.344,4.344,1,-99.0,,-99.0,-99.0,1
Furo 005,4.121,,4.121,4.121,1,-99.0,,-99.0,-99.0,1
Furo 006,5.872,,5.872,5.872,1,-99.0,,-99.0,-99.0,1
Furo 007,1.923,,1.923,1.923,1,-99.0,,-99.0,-99.0,1
Furo 008,0.313,,0.313,0.313,1,-99.0,,-99.0,-99.0,1
Furo 009,3.885,,3.885,3.885,1,-99.0,,-99.0,-99.0,1
Furo 010,1.746,,1.746,1.746,1,-99.0,,-99.0,-99.0,1
Furo 011,1.878,,1.878,1.878,1,-99.0,,-99.0,-99.0,1
Furo 012,0.821,,0.821,0.821,1,-99.0,,-99.0,-99.0,1
Furo 013,0.811,,0.811,0.811,1,-99.0,,-99.0,-99.0,1
Furo 014,1.243,,1.243,1.243,1,-99.0,,-99.0,-99.0,1
Furo 015,1.88,,1.88,1.88,1,-99.0,,-99.0,-99.0,1
Furo 016,0.287,,0.287,0.287,1,-99.0,,-99.0,-99.0,1
Furo 017,0.781,,0.781,0.781,1,-99.0,,-99.0,-99.0,1
Furo 018,2.921,,2.921,2.921,1,-99.0,,-99.0,-99.0,1
Furo 019,8.952,,8.952,8.952,1,-99.0,,-99.0,-99.0,1
Furo 020,7.026,,7.026,7.026,1,-99.0,,-99.0,-99.0,1
Furo 021,4.903,,4.903,4.903,1,-99.0,,-99.0,-99.0,1
Furo 022,1.361,,1.361,1.361,1,-99.0,,-99.0,-99.0,1
Furo 023,3.35,,3.35,3.35,1,-99.0,,-99.0,-99.0,1
Furo 024,2.77,,2.77,2.77,1,-99.0,,-99.0,-99.0,1
Furo 025,2.061,,2.061,2.061,1,-99.0,,-99.0,-99.0,1
Furo 026,0.245,,0.245,0.245,1,-99.0,,-99.0,-99.0,1
Furo 027,1.981,,1.981,1.981,1,-99.0,,-99.0,-99.0,1
Furo 028,0.603,,0.603,0.603,1,-99.0,,-99.0,-99.0,1
Furo 029,3.126,,3.126,3.126,1,-99.0,,-99.0,-99.0,1
Furo 030,2.409,,2.409,2.409,1,-99.0,,-99.0,-99.0,1
Furo 031,6.533,,6.533,6.533,1,-99.0,,-99.0,-99.0,1
Furo 032,0.964,,0.964,0.964,1,-99.0,,-99.0,-99.0,1
Furo 033,1.05,,1.05,1.05,1,-99.0,,-99.0,-99.0,1
Furo 034,0.378,,0.378,0.378,1,-99.0,,-99.0,-99.0,1
Furo 035,8.208,,8.208,8.208,1,-99.0,,-99.0,-99.0,1
Furo 036,4.507,,4.507,4.507,1,-99.0,,-99.0,-99.0,1
Furo 037,1.904,,1.904,1.904,1,-99.0,,-99.0,-99.0,1
Furo 038,7.733,,7.733,7.733,1,-99.0,,-99.0,-99.0,1
Furo 039,9.719,,9.719,9.719,1,-99.0,,-99.0,-99.0,1
Furo 040,7.624,,7.624,7.624,1,-99.0,,-99.0,-99.0,1
Furo 041,9.683,,9.683,9.683,1,-99.0,,-99.0,-99.0,1
Furo 042,3.947,,3.947,3.947,1,-99.0,,-99.0,-99.0,1
Furo 043,3.43,,3.43,3.43,1,-99.0,,-99.0,-99.0,1
Furo 044,8.638,,8.638,8.638,1,-99.0,,-99.0,-99.0,1
Furo 045,1.596,,1.596,1.596,1,-99.0,,-99.0,-99.0,1
Furo 046,4.458,,4.458,4.458,1,-99.0,,-99.0,-99.0,1
Furo 047,6.733,,6.733,6.733,1,-99.0,,-99.0,-99.0,1
Furo 048,2.526,,2.526,2.526,1,-99.0,,-99.0,-99.0,1
Furo 049,5.375,,5.375,5.375,1,-99.0,,-99.0,-99.0,1
Furo 050,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 051,3.291,,3.291,3.291,1,-99.0,,-99.0,-99.0,1
Furo 052,6.463,,6.463,6.463,1,-99.0,,-99.0,-99.0,1
Furo 053,6.162,,6.162,6.162,1,-99.0,,-99.0,-99.0,1
Furo 054,7.613,,7.613,7.613,1,-99.0,,-99.0,-99.0,1
Furo 055,9.18,,9.18,9.18,1,-99.0,,-99.0,-99.0,1
Furo 056,0.974,,0.974,0.974,1,-99.0,,-99.0,-99.0,1
Furo 057,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 058,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 059,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 060,0.024,,0.024,0.024,1,-99.0,,-99.0,-99.0,1
Furo 061,3.683,,3.683,3.683,1,-99.0,,-99.0,-99.0,1
Furo 062,0.916,,0.916,0.916,1,-99.0,,-99.0,-99.0,1
Furo 063,6.547,,6.547,6.547,1,-99.0,,-99.0,-99.0,1
Furo 064,6.455,,6.455,6.455,1,-99.0,,-99.0,-99.0,1
Furo 065,9.072,,9.072,9.072,1,-99.0,,-99.0,-99.0,1
Furo 066,8.263,,8.263,8.263,1,-99.0,,-99.0,-99.0,1
Furo 067,9.753,,9.753,9.753,1,-99.0,,-99.0,-99.0,1
Furo 068,5.511,,5.511,5.511,1,-99.0,,-99.0,-99.0,1
Furo 069,1.555,,1.555,1.555,1,-99.0,,-99.0,-99.0,1
Furo 070,0.107,,0.107,0.107,1,-99.0,,-99.0,-99.0,1
Furo 071,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 072,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 073,0.0,,0.0,0.0,1,-99.0,,-99.0,-99.0,1
Furo 074,0.121,,0.121,0.121,1,-99.0,,-99.0,-99.0,1
Furo 075,0.622,,0.622,0.622,1,-99.0,,-99.0,-99.0,1
Furo 076,3.996,,3.996,3.996,1,-99.0,,-99.0,-99.0,1
Furo 077,1.766,,1.766,1.766,1,-99.0,,-99.0,-99.0,1
Furo 078,4.02,,4.02,4.02,1,-99.0,,-99.0,-99.0,1
Furo 079,2.606,,2.606,2.606,1,-99.0,,-99.0,-99.0,1
Furo 080,1.92,,1.92,1.92,1,-99.0,,-99.0,-99.0,1
Furo 081,2.376,,2.376,2.376,1,-99.0,,-99.0,-99.0,1
